symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_30.0,put_atm_30.0,call_atm_30.0,prem_per_iv_primary_30.0,prem_per_iv_sec_30.0,prem_per_hv30_30.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
CLSK,3/27/26,1.8519,-0.3219,Q1 High Premium / Low Risk,8.66,4/10/26,6.3799,99.5345,4.5035,103.924,3.06,112.705,1.6455,124.412,4/17/26,8.343,102.461,6.0046,102.949,3.6085,109.29,1.8187,125.875,5/15/26,11.2875,104.412,10.97,104.9,6.6975,110.753,3.5219,114.656,6/18/26,13.1255,100.347,14.2032,100.022,7.1594,102.9485,2.8868,110.753,9/18/26,15.9642,99.534,23.3545,101.4855,13.4815,104.4125,5.1674,106.851,12.21,6.38,5.83,0.5205,0.0641,0.0863,13.52,8.34,5.18,0.4571,0.0814,0.1129,16.14,11.29,4.85,0.3505,0.1081,0.1528,20.05,13.13,6.93,0.3482,0.1308,0.1776,17.65,15.96,1.69,0.2128,0.1604,0.216,0.7829,0.7389,0.9891,0.9953,1.347,0.2564,Rich Vol,1.0246,1.387,0.2857,Rich Vol,1.0441,1.413,0.3052,Rich Vol,1.0035,1.358,0.2645,Rich Vol,0.9953,1.347,0.2564,Rich Vol,0,0,0,7.73,Normal,3,1.1,18.1,21.23,Normal,5.27,4.17,,,,,,,,,,,,,,,,,,,0.150796,-0.000169,0.150965,6.0046,7.8753,11.224,13.341,17.4423,0.983,0.446,0.983,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.0235,0.122,Normal,0.933,0.933,0.933
ASTS,3/27/26,1.6032,-0.0827,Q1 High Premium / Low Risk,78.67,4/10/26,6.7815,107.3929,5.4112,109.3876,1.9957,109.778,0.858,120.0215,4/17/26,7.8247,106.4327,6.451,107.8265,3.3494,111.729,1.5921,117.095,5/15/26,12.6626,109.778,11.6309,110.2655,6.4033,111.729,2.5084,116.2817,6/18/26,14.243,104.7046,13.4634,105.55,6.8323,106.851,2.7914,110.168,7/17/26,14.5036,100.998,16.833,101.7292,8.4371,102.949,3.7689,104.5747,11.77,6.78,4.99,0.465,0.0631,0.071,10.57,7.82,2.75,0.3441,0.0735,0.0819,17.41,12.66,4.75,0.3597,0.1153,0.1325,19.76,14.24,5.51,0.3288,0.136,0.149,17.48,14.5,2.97,0.2595,0.1436,0.1518,1.0714,0.9557,1.1557,1.0739,1.124,0.1182,Equiv. Vol,1.0643,1.114,0.1086,Equiv. Vol,1.0978,1.149,0.142,Equiv. Vol,1.047,1.096,0.0913,Equiv. Vol,1.01,1.057,0.0542,Equiv. Vol,1,0.73,12.38,12.38,Normal,1,0.37,16.45,16.45,Normal,6.82,5.4,,,,,,,,,,,,,,,,,,,0.11994,-0.000844,0.120784,6.5074,7.55,12.4563,14.0871,14.9695,0.943,0.146,0.943,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.6428,0.33,Normal,0.981,0.98,0.98
MARA,3/27/26,1.5661,-0.4933,Q1 High Premium / Low Risk,8.02,4/10/26,6.2968,98.5585,4.6758,100.998,2.9302,104.9,1.143,123.1107,4/17/26,7.8554,96.6075,5.2369,88.315,3.4913,106.363,1.2677,127.3387,5/15/26,11.8766,100.022,8.4165,103.924,4.6758,110.753,2.3691,119.534,6/18/26,11.1284,95.144,14.9938,100.5095,7.5436,106.851,3.1796,117.0945,9/18/26,15.586,95.8755,21.9763,98.5585,10.8479,105.388,4.2394,120.5095,10.13,6.3,3.83,0.4361,0.0639,0.0738,12.91,7.86,5.05,0.4627,0.0813,0.092,19.2,11.88,7.33,0.4354,0.1187,0.1391,17.61,11.13,6.48,0.3225,0.117,0.1304,18.85,15.59,3.26,0.2359,0.1626,0.1826,0.903,0.8535,0.9879,0.9856,1.155,0.132,Equiv. Vol,0.9661,1.132,0.1125,Equiv. Vol,1.0002,1.172,0.1467,Equiv. Vol,0.9514,1.115,0.0979,Equiv. Vol,0.9588,1.123,0.1052,Equiv. Vol,0,0,0,9.06,Normal,2,0.73,20.48,20.73,Normal,6.09,4.82,,,,,,,,,,,,,,,,,,,0.141281,-0.00037,0.141652,5.9726,7.3317,11.1846,11.9015,16.8641,0.975,0.329,0.977,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.6742,0.069,Normal,0.969,0.969,0.969
RIOT,3/27/26,1.3947,-0.4096,Q1 High Premium / Low Risk,12.8,4/10/26,5.8333,93.1927,3.9648,98.071,2.4219,102.949,1.0807,110.103,4/17/26,7.2526,91.8923,5.3125,97.0955,3.0859,100.9975,1.2695,111.7288,5/15/26,11.0156,92.705,8.5938,95.632,4.6875,100.022,1.9531,110.428,6/18/26,12.9818,89.616,11.4062,91.2415,5.6445,94.1685,2.3047,100.022,9/18/26,14.6875,87.7294,19.4401,90.2663,10.6445,91.7295,6.7969,96.12,10.23,5.83,4.4,0.4659,0.0626,0.0728,13.09,7.25,5.83,0.4933,0.0789,0.0905,17.07,11.02,6.05,0.4176,0.1188,0.1374,19.31,12.98,6.33,0.3755,0.1449,0.162,17.3,14.69,2.62,0.2367,0.1674,0.1833,0.834,0.8015,0.9557,0.9319,1.163,0.1304,Equiv. Vol,0.9189,1.147,0.1174,Equiv. Vol,0.927,1.157,0.1256,Equiv. Vol,0.8962,1.118,0.0947,Equiv. Vol,0.8773,1.095,0.0758,Equiv. Vol,0,0,0,9.65,Normal,3,1.1,16.31,18.08,Normal,5.72,4.53,,,,,,,,,,,,,,,,,,,0.137863,-0.000722,0.138584,5.4596,6.8646,10.5312,12.6667,15.638,0.967,0.171,0.967,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.9731,0.105,Normal,0.95,0.95,0.95
CORZ,3/27/26,1.2278,-0.3433,Q1 High Premium / Low Risk,15.07,4/10/26,5.7399,83.925,4.1971,86.364,2.3059,91.242,1.0617,103.9243,4/17/26,6.7574,86.0387,5.1205,88.6403,2.6543,92.217,1.352,109.2903,5/15/26,10.407,90.9167,7.8799,90.754,4.9104,98.071,2.0349,99.6967,6/18/26,12.0936,85.3882,10.6005,86.8515,5.7896,90.2665,2.4884,91.242,9/18/26,14.3663,80.7052,17.5625,82.4613,8.914,85.7137,2.7206,83.112,10.55,5.74,4.81,0.5334,0.0684,0.092,10.93,6.76,4.17,0.4399,0.0785,0.1083,16.17,10.41,5.76,0.4033,0.1145,0.1667,17.83,12.09,5.73,0.3637,0.1416,0.1938,18.3,14.37,3.93,0.2721,0.178,0.2302,0.6601,0.6242,0.6995,0.8392,1.345,0.2151,Rich Vol,0.8604,1.378,0.2362,Rich Vol,0.9092,1.457,0.285,Rich Vol,0.8539,1.368,0.2297,Rich Vol,0.8071,1.293,0.1829,Rich Vol,0,0,0,7.68,Normal,4,1.47,10.31,12.63,Normal,4.46,3.53,,,,,,,,,,,,,,,,,,,0.129988,-0.000504,0.130492,5.4313,6.43,9.9016,11.795,15.0055,0.96,0.248,0.96,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.152,0.155,Normal,0.863,0.863,0.863
SQQQ,3/27/26,1.2259,-0.103,Q1 High Premium / Low Risk,87.42,4/10/26,6.1742,93.681,4.2629,88.4775,1.8539,82.1827,0.7821,76.6079,4/17/26,7.4683,97.827,5.2238,88.9655,2.478,81.7298,0.8328,70.9494,5/15/26,10.6421,97.7457,8.2962,85.4858,3.5724,77.1932,1.1313,68.6082,6/18/26,13.9864,94.1685,10.9815,83.3621,4.9052,75.6324,2.2135,69.291,9/18/26,18.394,96.5098,15.8647,84.6293,8.5195,78.5589,3.8078,72.2178,11.6,6.17,5.43,0.5256,0.0659,0.1163,13.54,7.47,6.08,0.4796,0.0763,0.1407,14.41,10.64,3.77,0.3344,0.1089,0.2004,22.01,13.99,8.02,0.4072,0.1485,0.2634,21.85,18.39,3.45,0.2716,0.1906,0.3464,0.5688,0.5309,0.5077,0.9368,1.764,0.4059,Very Rich Vol,0.9783,1.843,0.4473,Very Rich Vol,0.9775,1.841,0.4465,Very Rich Vol,0.9417,1.774,0.4108,Very Rich Vol,0.9651,1.818,0.4342,Very Rich Vol,1,0.73,6.95,6.95,Normal,1,0.37,6.95,6.95,Normal,3.79,3,,,,,,,,,,,,,,,,,,,0.163884,9.90E-05,0.163785,5.7919,7.0194,10.1729,13.3854,17.8881,0.989,0.642,0.987,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.2895,0.215,Normal,0.787,0.787,0.787
RKLB,3/27/26,1.159,-0.1802,Q1 High Premium / Low Risk,60.93,4/10/26,6.1448,92.8026,4.4641,95.144,,,0.9601,101.485,4/17/26,7.164,92.9141,4.4641,94.168,2.4126,102.461,1.1909,107.3389,5/15/26,10.6324,95.4693,8.9037,97.095,4.657,99.5345,1.9366,102.949,6/18/26,11.6609,91.892,14.053,93.1925,6.9137,93.6805,2.7039,97.583,7/17/26,13.7945,89.941,14.1009,90.9163,7.2686,91.1196,2.9928,91.2417,10.49,6.14,4.35,0.4796,0.0662,0.0722,11.51,7.16,4.34,0.429,0.0771,0.0841,17.01,10.63,6.38,0.404,0.1114,0.1249,15.77,11.66,4.11,0.299,0.1269,0.1369,17.27,13.79,3.48,0.288,0.1534,0.162,0.9394,0.8515,0.901,0.928,1.09,0.0765,Equiv. Vol,0.9291,1.091,0.0777,Equiv. Vol,0.9547,1.121,0.1032,Equiv. Vol,0.9189,1.079,0.0674,Equiv. Vol,0.8994,1.056,0.0479,Equiv. Vol,1,0.73,12.32,12.32,Normal,1,0.37,12.32,12.32,Normal,6.08,4.81,,,,,,,,,,,,,,,,,,,0.112623,-0.00041,0.113033,5.8087,6.624,10.2867,12.1393,13.8558,0.931,0.297,0.931,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.6105,0.309,Normal,0.966,0.966,0.966
RGTI,3/27/26,1.0456,-0.3062,Q1 High Premium / Low Risk,13.32,4/10/26,5.6682,89.941,3.6599,93.1925,,,1.1637,104.412,4/17/26,7.47,93.1927,5.1426,94.1685,3.003,98.5585,1.1261,111.241,5/15/26,10.4542,97.583,11.036,99.534,4.9925,99.534,1.8769,116.2817,,,,,,,,,,7/17/26,13.3634,90.0222,14.4394,93.193,6.4752,93.6805,2.0646,115.631,10.16,5.67,4.49,0.4793,0.063,0.0854,13.6,7.47,6.13,0.5056,0.0802,0.1126,14.02,10.45,3.57,0.3258,0.1071,0.1576,,,,,,,17.28,13.36,3.91,0.2879,0.1484,0.2014,0.5717,0.6634,0.8293,0.8994,1.356,0.236,Rich Vol,0.9319,1.405,0.2685,Rich Vol,0.9758,1.471,0.3124,Rich Vol,,,,,0.9002,1.357,0.2368,Rich Vol,0,0,0,7.87,Normal,2,0.73,15.28,16.77,Normal,4.74,3.75,,,,,,,,,,,,,,,,,,,0.1079,-0.000136,0.108036,5.2665,7.0045,10.5706,,13.5786,0.916,0.469,0.916,Rich + Thin,Rich + Thin,Rich + Thin,,Rich + Thin,0.6302,0.06,Normal,0.897,0.897,0.897
WDC,3/27/26,1.0041,-0.2643,Q1 High Premium / Low Risk,275.34,4/10/26,5.2931,82.1363,3.8203,84.1688,1.963,88.3152,0.8117,94.331,4/17/26,6.1363,81.9735,4.9098,84.1687,2.7284,87.5833,1.257,92.4124,5/15/26,9.8431,86.3638,8.2292,89.6157,4.4309,91.892,1.8232,97.9489,6/18/26,11.3853,83.925,11.2443,86.754,5.416,90.51,2.3682,94.5586,7/17/26,12.8078,82.1826,12.944,83.8274,6.3413,87.3394,2.8792,91.4368,9.2,5.29,3.9,0.475,0.0644,0.0752,9.61,6.14,3.47,0.4059,0.0749,0.0871,15.97,9.84,6.13,0.4194,0.114,0.1398,15.9,11.39,4.52,0.3301,0.1357,0.1617,17.84,12.81,5.03,0.3256,0.1558,0.1819,0.7771,0.7042,0.8622,0.8214,1.166,0.1171,Equiv. Vol,0.8197,1.164,0.1155,Equiv. Vol,0.8636,1.226,0.1594,Rich Vol,0.8392,1.192,0.135,Equiv. Vol,0.8218,1.167,0.1176,Equiv. Vol,1,0.73,9.21,9.21,Normal,1,0.37,15.5,15.5,Normal,5.03,3.98,,,,,,,,,,,,,,,,,,,0.109781,4.30E-05,0.109738,4.9985,5.891,9.5203,11.3571,12.835,0.922,0.595,0.924,Cheap + Thin,Cheap + Thin,Rich + Thin,Cheap + Thin,Cheap + Thin,1.4984,0.27,Normal,0.912,0.912,0.912
DOCN,3/27/26,0.9617,-0.5875,Q1 High Premium / Low Risk,81.42,4/10/26,5.7643,88.5318,4.2629,90.7538,1.9498,91.2418,0.8843,95.3392,4/17/26,6.5862,85.7133,5.1721,88.857,2.3336,88.315,1.2487,96.1197,5/15/26,10.5523,92.0547,8.7356,94.412,4.7669,100.022,1.9897,106.2658,,,,,,,,,,8/21/26,14.6928,83.2976,15.8385,84.552,8.6895,88.5588,3.3951,92.3566,9.51,5.76,3.74,0.4556,0.0651,0.0704,10.61,6.59,4.03,0.4289,0.0768,0.0804,16.53,10.55,5.98,0.4073,0.1146,0.1288,,,,,,,19.65,14.69,4.96,0.3089,0.1764,0.1794,0.7472,0.8192,0.727,0.8853,1.081,0.0662,Equiv. Vol,0.8571,1.046,0.038,Equiv. Vol,0.9205,1.124,0.1014,Equiv. Vol,,,,,0.833,1.017,0.0138,Equiv. Vol,0,0,0,10.23,Normal,2,0.73,9.85,10.23,Normal,5.85,4.63,,,,,,,,,,,,,,,,,,,0.127945,-0.0006,0.128545,5.464,6.3034,10.189,,14.9219,0.958,0.203,0.958,Cheap + Thin,Cheap + Thin,Cheap + Thin,,Cheap + Thin,0.5297,0.052,Normal,0.957,0.958,0.958
