symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
XLB,2026-03-31,6.7151,-0.5631,Q1 High Premium / Low Risk,49.97,2026-04-10,1.8911,1.488,,,,,1.8311,4.415,2026-05-01,4.4727,41.9745,5.3032,94.168,,,,,2026-05-15,2.9468,25.8775,2.8384,38.5603,1.4609,27.829,,,2026-06-18,3.7973,27.341,5.063,37.584,3.3553,47.991,0.7004,37.584,2026-09-18,5.51,27.5033,4.5994,27.8287,2.4014,28.8045,1.0706,35.633,5.17,1.89,3.28,17.4353,1.2709,0.1025,8.02,4.47,3.55,0.5449,0.1066,0.2424,4.56,2.95,1.61,0.4168,0.1139,0.1597,7.69,3.8,3.89,0.5024,0.1389,0.2058,8.34,5.51,2.83,0.3683,0.2003,0.2986,0.2029,0.1845,0.2002,0.0149,0.081,-0.1696,Discounted Vol,0.4197,2.275,0.2352,Very Rich Vol,0.2588,1.402,0.0743,Rich Vol,0.2734,1.482,0.0889,Rich Vol,0.275,1.491,0.0905,Rich Vol,1,0.73,2.49,2.49,Normal,2,0.73,2.6,2.72,Normal,1.11,0.9,,,,,,,,,,,,,0.019792,0.001781,0.018011,,4.6388,2.9251,4.0504,5.3279,0.016,0.971,0.014,Cheap + Efficient,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,0.9264,0.1,Normal,0.084,0.084,0.085
ASTS,2026-03-31,2.8245,-0.5593,Q1 High Premium / Low Risk,82.87,2026-04-10,5.7319,103.088,4.0586,106.6885,2.2103,115.9567,1.0016,125.9292,2026-05-01,9.818,105.1249,8.6933,105.0625,4.3019,107.339,1.7095,119.5337,2026-05-15,11.5985,108.477,10.3274,110.4283,4.7967,114.168,1.8523,120.184,2026-06-18,13.497,103.534,13.6459,104.5747,7.3157,106.3635,2.8225,110.7532,2026-07-17,15.0929,100.8352,15.9889,102.2983,8.085,103.5993,3.1415,107.5017,10.28,5.73,4.55,0.5008,0.0556,0.0555,15.23,9.82,5.41,0.4129,0.0934,0.0951,16.75,11.6,5.15,0.3655,0.1069,0.1124,18.23,13.5,4.73,0.3145,0.1304,0.1308,20.35,15.09,5.26,0.3083,0.1497,0.1463,1.0959,1.032,1.1508,1.0309,0.999,-0.0011,Equiv. Vol,1.0512,1.019,0.0193,Equiv. Vol,1.0848,1.051,0.0528,Equiv. Vol,1.0353,1.003,0.0034,Equiv. Vol,1.0084,0.977,-0.0236,Equiv. Vol,0,0.0,0.0,12.38,Normal,1,0.37,16.45,16.45,Normal,6.21,5.02,,,,,,,,,,,,,0.122517,-0.000411,0.122928,5.3972,9.5931,11.3443,13.5268,15.2721,0.951,0.209,0.953,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.3174,0.022,Normal,0.985,0.985,0.985
CLSK,2026-03-31,2.6496,-0.4473,Q1 High Premium / Low Risk,8.51,2026-04-10,6.2867,96.12,3.6428,97.095,1.9976,100.998,0.9107,115.1435,2026-05-01,8.6565,96.1197,6.8743,98.0705,4.0541,101.973,2.7027,104.9,2026-05-15,10.7521,96.12,10.517,100.022,5.9929,103.924,2.3502,115.144,2026-06-18,12.7203,94.656,11.6627,99.0465,5.8754,108.802,2.3796,118.558,2026-09-18,14.3801,96.6072,20.2899,99.3717,10.5758,100.998,5.8167,110.753,12.51,6.29,6.23,0.6536,0.0654,0.0865,13.26,8.66,4.6,0.3933,0.0901,0.119,16.27,10.75,5.52,0.4007,0.1119,0.1479,17.36,12.72,4.64,0.3276,0.1344,0.1749,15.09,14.38,0.71,0.1896,0.1489,0.1978,0.7575,0.7271,0.9573,0.9612,1.322,0.2341,Rich Vol,0.9612,1.322,0.2341,Rich Vol,0.9612,1.322,0.2341,Rich Vol,0.9466,1.302,0.2194,Rich Vol,0.9661,1.329,0.2389,Rich Vol,0,0.0,0.0,7.73,Normal,2,0.73,20.54,21.23,Normal,4.38,3.54,,,,,,,,,,,,,0.125748,-1e-06,0.125749,5.7579,8.3001,10.7051,12.5088,15.5621,0.957,0.529,0.959,Rich + Efficient,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,0.6792,0.071,Normal,0.916,0.916,0.916
MARA,2026-03-31,2.1814,-0.4857,Q1 High Premium / Low Risk,8.16,2026-04-10,4.6569,93.1925,2.8799,96.12,1.4706,100.998,0.6434,117.0945,2026-05-01,8.1495,91.242,6.924,95.144,4.3811,104.412,1.4706,111.404,2026-05-15,10.5699,95.144,7.1078,101.973,4.0441,111.729,1.8995,118.558,2026-06-18,10.9375,93.6805,13.2047,97.583,6.3725,104.9,3.125,122.4605,2026-09-18,15.579,95.3878,20.1287,96.6075,11.6422,100.022,5.2083,116.282,8.36,4.66,3.71,0.4505,0.05,0.0572,13.95,8.15,5.8,0.4359,0.0893,0.1001,17.92,10.57,7.35,0.4458,0.1111,0.1299,12.68,10.94,1.75,0.2418,0.1168,0.1344,19.83,15.58,4.25,0.2523,0.1633,0.1914,0.8471,0.8138,0.9693,0.9319,1.145,0.1181,Equiv. Vol,0.9124,1.121,0.0986,Equiv. Vol,0.9514,1.169,0.1376,Equiv. Vol,0.9368,1.151,0.123,Equiv. Vol,0.9539,1.172,0.1401,Equiv. Vol,0,0.0,0.0,9.06,Normal,2,0.73,20.48,20.73,Normal,4.9,3.96,,,,,,,,,,,,,0.149317,0.000364,0.148953,4.3015,7.9044,9.8775,11.3909,16.4889,0.986,0.803,0.986,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.6742,0.069,Normal,0.951,0.952,0.951
RIOT,2026-03-31,2.179,-0.4032,Q1 High Premium / Low Risk,12.36,2026-04-10,5.178,87.339,3.661,89.2905,1.9417,95.144,0.8799,113.1922,2026-05-01,7.8479,87.014,6.8635,89.2907,3.452,99.0463,1.6383,110.753,2026-05-15,8.5356,88.315,9.1828,92.705,4.7735,96.12,2.0631,110.4283,2026-06-18,11.9943,86.8515,12.4191,89.7785,6.3511,95.144,2.3665,98.5585,2026-09-18,15.1699,86.3638,19.1545,89.7785,10.0054,92.2173,,,9.26,5.18,4.09,0.5325,0.0593,0.0641,11.57,7.85,3.72,0.3791,0.0902,0.0971,11.33,8.54,2.79,0.3035,0.0966,0.1056,16.44,11.99,4.45,0.3382,0.1381,0.1484,19.78,15.17,4.61,0.2781,0.1757,0.1877,0.8616,0.8083,0.9455,0.8734,1.081,0.0651,Equiv. Vol,0.8701,1.077,0.0619,Equiv. Vol,0.8832,1.093,0.0749,Equiv. Vol,0.8685,1.075,0.0602,Equiv. Vol,0.8636,1.068,0.0554,Equiv. Vol,0,0.0,0.0,9.65,Normal,3,1.1,16.31,18.08,Normal,4.86,3.94,,,,,,,,,,,,,0.142865,-0.000129,0.142994,4.8746,7.651,8.665,12.0793,15.9668,0.98,0.402,0.978,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.9731,0.109,Normal,0.949,0.949,0.949
CORZ,2026-03-31,2.0341,-0.4476,Q1 High Premium / Low Risk,14.96,2026-04-10,4.7794,85.876,3.7099,89.7785,1.8717,95.144,0.7464,103.9243,2026-05-01,7.9545,83.112,6.807,87.0143,3.5595,96.1195,1.5207,105.388,2026-05-15,9.5031,88.9653,7.7874,91.7295,4.2781,93.193,1.7714,99.0463,2026-06-18,12.7228,86.0387,10.6618,87.3395,6.133,93.1925,2.4064,91.7295,2026-09-18,13.6029,83.1115,17.9479,84.0877,8.9461,85.7133,2.9746,86.0387,7.19,4.78,2.41,0.4201,0.0557,0.0691,11.73,7.95,3.78,0.4024,0.0957,0.1151,16.3,9.5,6.8,0.4337,0.1068,0.1375,19.46,12.72,6.74,0.404,0.1479,0.1841,16.75,13.6,3.15,0.2447,0.1637,0.1968,0.7175,0.6912,0.7082,0.8588,1.242,0.1675,Rich Vol,0.8311,1.202,0.1399,Rich Vol,0.8897,1.287,0.1984,Rich Vol,0.8604,1.245,0.1691,Rich Vol,0.8311,1.202,0.1399,Rich Vol,0,0.0,0.0,8.01,Normal,3,1.1,10.62,12.63,Normal,4.16,3.37,,,,,,,,,,,,,0.128118,-0.00021,0.128328,4.5655,7.725,9.16,12.3106,14.4719,0.961,0.318,0.963,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,0.8621,0.088,Normal,0.894,0.894,0.894
WDC,2026-03-31,1.9579,-0.6866,Q1 High Premium / Low Risk,270.49,2026-04-10,4.4838,82.4614,3.3062,89.1513,1.806,92.9976,0.7581,98.0708,2026-05-01,8.3407,88.1754,6.5391,92.7052,3.1498,93.7784,1.6772,103.9242,2026-05-15,9.7966,87.8273,8.5524,90.2663,4.6983,93.843,1.737,99.48,2026-06-18,11.8966,85.3882,10.6843,86.6078,5.4993,90.0222,2.3809,94.1684,2026-07-17,12.2703,83.9946,13.6752,84.998,6.6897,88.1198,2.9087,92.6608,8.28,4.48,3.8,0.504,0.0544,0.0574,13.61,8.34,5.27,0.44,0.0946,0.1068,15.19,9.8,5.39,0.4092,0.1115,0.1255,17.38,11.9,5.48,0.3635,0.1393,0.1524,16.34,12.27,4.07,0.2972,0.1461,0.1572,0.8281,0.7807,0.8783,0.8246,1.056,0.0439,Equiv. Vol,0.8818,1.129,0.101,Equiv. Vol,0.8783,1.125,0.0975,Equiv. Vol,0.8539,1.094,0.0731,Equiv. Vol,0.8399,1.076,0.0592,Equiv. Vol,0,0.0,0.0,9.6,Normal,1,0.37,10.67,10.67,Normal,4.7,3.8,,,,,,,,,,,,,0.103953,-5.2e-05,0.104005,4.2483,7.9804,9.5478,11.6541,12.5513,0.918,0.475,0.918,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.2727,0.016,Normal,0.945,0.944,0.944
SITM,2026-03-31,1.9498,-0.3299,Q1 High Premium / Low Risk,345.35,2026-04-17,5.7478,80.185,4.3217,82.9495,2.2682,86.689,1.0038,98.0707,,,,,,,,,,2026-05-15,9.5507,87.8272,8.2344,91.7295,4.347,95.388,1.9082,104.1192,,,,,,,,,,2026-08-21,13.5338,80.8353,15.3347,83.5997,9.9247,85.876,3.1514,90.9163,10.1,5.75,4.35,0.4848,0.0717,0.0662,,,,,,,15.04,9.55,5.48,0.4051,0.1087,0.1101,,,,,,,17.53,13.53,4.0,0.2879,0.1674,0.156,0.9111,0.8677,0.7991,0.8018,0.924,-0.0658,Equiv. Vol,,,,,0.8783,1.012,0.0106,Equiv. Vol,,,,,0.8084,0.932,-0.0593,Equiv. Vol,0,0.0,0.0,10.4,Normal,3,1.1,12.37,16.48,Normal,5.22,4.22,,,,,,,,,,,,,0.108782,-3.7e-05,0.108819,5.4626,,9.2874,,13.894,0.937,0.498,0.937,Cheap + Thin,,Cheap + Thin,,Cheap + Thin,0.9441,0.102,Normal,0.965,0.965,0.965
STX,2026-03-31,1.7908,-0.7045,Q1 High Premium / Low Risk,391.76,2026-04-10,4.1995,77.1401,3.0649,82.3221,1.6677,84.5752,0.778,96.2969,2026-05-01,7.9519,83.8707,6.3659,89.2906,3.4821,94.656,1.7941,98.9069,2026-05-15,9.2347,81.876,7.696,84.998,3.9055,88.8028,1.6996,96.1197,2026-06-18,10.9072,76.8864,9.5935,79.5347,5.0956,82.949,2.259,88.315,2026-09-18,13.4802,74.7381,15.2754,76.329,8.2704,78.7215,3.1282,82.6564,7.62,4.2,3.42,0.496,0.0544,0.0587,12.96,7.95,5.01,0.4405,0.0948,0.1112,14.54,9.23,5.3,0.4202,0.1128,0.1291,16.49,10.91,5.58,0.383,0.1419,0.1525,18.4,13.48,4.92,0.2989,0.1804,0.1884,0.7499,0.7154,0.8304,0.7714,1.078,0.056,Equiv. Vol,0.8387,1.172,0.1233,Equiv. Vol,0.8188,1.145,0.1034,Equiv. Vol,0.7689,1.075,0.0535,Equiv. Vol,0.7474,1.045,0.032,Equiv. Vol,0,0.0,0.0,8.7,Normal,1,0.37,17.52,17.52,Normal,4.3,3.48,,,,,,,,,,,,,0.120316,-0.000695,0.121012,3.9726,7.6347,8.927,10.6445,13.8392,0.947,0.119,0.949,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,0.324,0.024,Normal,0.911,0.911,0.911
DOCN,2026-03-31,1.7671,-0.5435,Q1 High Premium / Low Risk,85.78,2026-04-10,5.0465,90.1577,3.6256,91.2416,1.7997,90.266,0.8403,105.225,2026-05-01,8.0951,84.9005,6.3243,87.6645,3.0602,94.1685,1.7049,98.0705,2026-05-15,10.3218,91.0466,8.889,95.144,4.7651,98.0708,2.0568,112.2864,,,,,,,,,,2026-08-21,15.0734,83.2974,15.0482,85.3882,7.9506,89.0952,3.5265,97.8269,8.41,5.05,3.37,0.4684,0.056,0.0595,12.9,8.1,4.8,0.4331,0.0953,0.0955,16.36,10.32,6.04,0.4252,0.1134,0.1218,,,,,,,21.7,15.07,6.62,0.3458,0.181,0.1779,0.7754,0.8475,0.7513,0.9016,1.064,0.0541,Equiv. Vol,0.849,1.002,0.0015,Equiv. Vol,0.9105,1.074,0.063,Equiv. Vol,,,,,0.833,0.983,-0.0145,Equiv. Vol,0,0.0,0.0,10.23,Normal,2,0.73,9.85,10.23,Normal,5.1,4.13,,,,,,,,,,,,,0.130042,-0.000717,0.130759,4.7623,7.7409,10.0352,,15.0684,0.963,0.112,0.967,Cheap + Thin,Cheap + Thin,Cheap + Thin,,Cheap + Thin,0.5297,0.055,Normal,0.962,0.962,0.962
